City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Sadiqabad,PK,61.32,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
8,Finschhafen,PG,84.4,overcast clouds,-6.6024,147.8681,Cossam Guest House
9,Busselton,AU,75.04,overcast clouds,-33.65,115.3333,Observatory Guest House
11,Trairi,BR,76.39,few clouds,-3.2778,-39.2689,janelas do mar
13,Benguela,AO,74.14,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
14,Ponta Do Sol,PT,66.13,broken clouds,32.6667,-17.1,Hotel do Campo
16,Rikitea,PF,79.36,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Souillac,MU,82.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Morondava,MG,77.85,light rain,-20.2833,44.2833,La Case Bambou
25,Hilo,US,76.73,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Hobart,AU,77.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
27,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
28,New Norfolk,AU,76.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
32,Honiara,SB,86.29,broken clouds,-9.4333,159.95,Heritage Park Hotel
35,Luba,GQ,78.93,clear sky,3.4568,8.5547,
41,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
43,Bredasdorp,ZA,68.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
44,Pimentel,PE,69.33,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
45,Atuona,PF,78.22,light rain,-9.8,-139.0333,Villa Enata
48,Oranjemund,,67.59,overcast clouds,-28.55,16.4333,The Fisherman's Cove
50,Macia,MZ,71.92,light rain,-25.0269,33.0989,Hotel Taskin Macia
53,Port Alfred,ZA,70.23,scattered clouds,-33.5906,26.891,The Halyards Hotel
54,Dakar,SN,69.93,clear sky,14.6937,-17.4441,Redface Studios Meublés
55,Santa Cruz,BO,69.26,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
57,Ibotirama,BR,70.48,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
60,Kisangani,CD,68.05,overcast clouds,0.5167,25.2,Grand Ramela Hotel
67,Tecoanapa,MX,76.53,clear sky,16.5167,-98.75,Hotel Manglares
68,Victoria,HK,65.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
69,Umm Lajj,SA,61.45,clear sky,25.0213,37.2685,Moon light Furnished Units
71,Guerrero Negro,MX,60.62,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
72,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
73,Mar Del Plata,AR,61.88,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
75,Samarai,PG,84.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
77,Saldanha,ZA,60.85,broken clouds,-33.0117,17.9442,Blue Bay Lodge
80,Bafoulabe,ML,73.26,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
81,Constitucion,CL,61.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
83,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
86,Cidreira,BR,72.93,overcast clouds,-30.1811,-50.2056,Hotel Castelo
88,Nishihara,JP,62.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
90,Kavieng,PG,83.64,light rain,-2.5744,150.7967,Nusa Island Retreat
91,Hermanus,ZA,69.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
94,Moron,AR,62.96,scattered clouds,-34.6534,-58.6198,Hotel Morón
95,Salalah,OM,72.36,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
97,Kruisfontein,ZA,65.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
98,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
102,Charlestown,AU,76.01,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
103,Graaff-Reinet,ZA,60.93,clear sky,-32.2522,24.5308,Rietjiesbos Self Catering
107,Matara,LK,81.81,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
108,Paidha,UG,62.98,overcast clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
109,San Juan,AR,65.91,overcast clouds,-31.5375,-68.5364,Hotel Provincial
112,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
113,Blackwater,AU,86.81,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
117,Butaritari,KI,82.8,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
118,Saint-Louis,SN,73.04,clear sky,16.3333,-15.0,
119,Biak,ID,83.46,light rain,-0.9131,122.8766,Penginapan Kim
120,Amapa,BR,71.06,light rain,1.0,-52.0,
121,Tarakan,ID,76.5,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
124,Sainte-Rose,GP,71.19,clear sky,16.3324,-61.6979,Villa - Duzer
125,Airai,TL,73.15,broken clouds,-8.9266,125.4092,
126,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
129,Basco,PH,72.32,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
130,Castro,BR,63.32,light rain,-24.7911,-50.0119,CHACARA BAILLY
132,Chuy,UY,62.02,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
133,Sorong,ID,84.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
135,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
136,Wagar,SD,60.12,clear sky,16.1525,36.2032,
141,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
146,Taoudenni,ML,64.92,overcast clouds,22.6783,-3.9836,
152,Hithadhoo,MV,81.99,clear sky,-0.6,73.0833,Scoop Guest House
153,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
156,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
158,Port Lincoln,AU,78.98,clear sky,-34.7333,135.8667,Port Lincoln Hotel
163,Bowen,AU,82.62,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
164,Arraial Do Cabo,BR,76.1,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
166,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
169,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
172,Guaruja,BR,83.89,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
178,La Union,PE,71.67,scattered clouds,-5.4,-80.75,Los Portales
179,Gwanda,ZW,62.53,broken clouds,-20.9333,29.0,Mafax Homeways
183,George Town,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
184,Soeng Sang,TH,76.51,scattered clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
188,Dhidhdhoo,MV,80.53,broken clouds,6.8833,73.1,Dhidhoo beach
189,Quatre Cocos,MU,82.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
192,Vanimo,PG,84.79,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
196,Port Elizabeth,ZA,68.09,few clouds,-33.918,25.5701,39 On Nile Guest House
197,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
198,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
200,Jacareacanga,BR,73.22,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
201,Nchelenge,ZM,68.5,light rain,-9.3451,28.734,KD Travellers Home
204,Atar,MR,67.71,clear sky,20.5169,-13.0499,Oumou Elghoura
207,Kimbe,PG,86.5,light rain,-5.5502,150.1429,Kimbe Bay Hotel
210,Camopi,GF,71.4,light rain,3.1655,-52.3158,La pousada
212,Mecca,SA,60.51,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
213,Vila Franca Do Campo,PT,60.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
216,Giyani,ZA,68.72,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
219,Kariba,ZW,69.1,overcast clouds,-16.5167,28.8,Caribbea Bay Hotel
224,Broken Hill,AU,80.31,broken clouds,-31.95,141.4333,Royal Exchange Hotel
225,Albury,AU,83.73,clear sky,-36.0833,146.9167,Albury Georgian Motel & Suites
228,Vila Do Maio,CV,70.59,clear sky,15.1333,-23.2167,Hotel Marilu
230,Lorengau,PG,83.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
231,Kahului,US,76.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
239,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
242,Codrington,AU,76.87,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
243,Sibolga,ID,81.25,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
244,Miramar,US,73.0,overcast clouds,25.9873,-80.2323,Casa Miramar
247,Bhilwara,IN,61.9,clear sky,25.35,74.6333,Ranbanka Heritage Resort Bhilwara
248,Tete,MZ,69.44,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
249,Plettenberg Bay,ZA,66.83,clear sky,-34.0527,23.3716,Thanda Vista B&B
250,Nouadhibou,MR,64.38,few clouds,20.931,-17.0347,El Medina
255,Geraldton,AU,82.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
257,Lotofaga,WS,80.38,light rain,-13.9764,-171.8578,Sataoa Beach Fales
258,Rumphi,MW,63.34,overcast clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
259,Pochutla,MX,74.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
260,Dzilam Gonzalez,MX,69.75,broken clouds,21.2833,-88.9333,posadas
263,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
267,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
268,Namibe,AO,71.56,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
270,Noumea,NC,89.58,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
