,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Stryn,NO,61.9045,6.7226,36.99,96,100,8.75,light snow
1,Thompson,CA,55.7435,-97.8558,-27.24,68,40,0.0,scattered clouds
2,Severo-Kurilsk,RU,50.6789,156.125,29.71,77,81,15.82,broken clouds
3,Konya,TR,38.1667,32.5,20.16,71,8,1.41,clear sky
4,Longyearbyen,SJ,78.2186,15.6401,12.04,67,20,18.41,few clouds
5,Chokurdakh,RU,70.6333,147.9167,-32.3,100,100,2.51,overcast clouds
6,Fukue,JP,32.6881,128.8419,41.36,45,75,17.27,broken clouds
7,Sadiqabad,PK,28.3062,70.1307,61.32,33,0,14.85,clear sky
8,Finschhafen,PG,-6.6024,147.8681,84.4,77,100,6.82,overcast clouds
9,Busselton,AU,-33.65,115.3333,75.04,62,86,11.86,overcast clouds
10,Port Augusta,AU,-32.5,137.7667,93.7,16,95,10.56,overcast clouds
11,Trairi,BR,-3.2778,-39.2689,76.39,88,11,5.46,few clouds
12,Jamestown,US,42.097,-79.2353,13.71,51,0,5.75,clear sky
13,Benguela,AO,-12.5763,13.4055,74.14,73,100,0.25,overcast clouds
14,Ponta Do Sol,PT,32.6667,-17.1,66.13,53,56,12.95,broken clouds
15,Imeni Babushkina,RU,59.7573,43.1285,8.62,98,100,2.73,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,79.36,69,91,14.97,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,49.66,57,20,18.41,few clouds
18,Griffith,US,41.5284,-87.4237,17.89,69,0,7.0,clear sky
19,Souillac,MU,-20.5167,57.5167,82.36,83,75,12.66,broken clouds
20,Mataura,NZ,-46.1927,168.8643,57.47,38,11,5.03,few clouds
21,Kapaa,US,22.0752,-159.319,78.78,73,0,1.01,clear sky
22,Morondava,MG,-20.2833,44.2833,77.85,85,100,15.14,light rain
23,Dikson,RU,73.5069,80.5464,-21.98,100,99,4.54,overcast clouds
24,Ketchikan,US,55.3422,-131.6461,43.27,81,100,20.71,moderate rain
25,Hilo,US,19.7297,-155.09,76.73,78,20,6.91,few clouds
26,Hobart,AU,-42.8794,147.3294,77.02,43,20,1.99,few clouds
27,Hambantota,LK,6.1241,81.1185,80.94,74,20,10.36,few clouds
28,New Norfolk,AU,-42.7826,147.0587,76.66,33,0,3.0,clear sky
29,Haines Junction,CA,60.7522,-137.5108,26.55,86,100,2.3,overcast clouds
30,Punta Arenas,CL,-53.15,-70.9167,53.71,58,40,8.05,scattered clouds
31,Peniche,PT,39.3558,-9.3811,53.08,74,0,12.35,clear sky
32,Honiara,SB,-9.4333,159.95,86.29,71,76,7.85,broken clouds
33,Neya,RU,58.2972,43.8681,2.66,100,99,1.68,overcast clouds
34,Quattro Castella,IT,44.635,10.4743,48.83,86,0,1.88,clear sky
35,Luba,GQ,3.4568,8.5547,78.93,83,6,6.06,clear sky
36,Port Hardy,CA,50.6996,-127.4199,44.78,81,100,9.22,overcast clouds
37,Bluff,NZ,-46.6,168.3333,57.79,58,7,12.3,clear sky
38,Sorland,NO,67.667,12.6934,38.37,66,82,17.02,broken clouds
39,Pacific Grove,US,36.6177,-121.9166,55.81,67,0,1.01,clear sky
40,Nikolskoye,RU,59.7035,30.7861,27.72,97,100,4.72,overcast clouds
41,Bengkulu,ID,-3.8004,102.2655,75.33,91,100,12.15,overcast clouds
42,Kenora,CA,49.8167,-94.4337,6.78,85,100,3.44,overcast clouds
43,Bredasdorp,ZA,-34.5322,20.0403,68.29,95,64,5.28,broken clouds
44,Pimentel,PE,-6.8367,-79.9342,69.33,87,34,10.18,scattered clouds
45,Atuona,PF,-9.8,-139.0333,78.22,80,42,21.88,light rain
46,Gat,IL,31.61,34.7642,52.39,100,70,6.22,broken clouds
47,Virginia Beach,US,36.8529,-75.978,33.85,62,0,10.36,clear sky
48,Oranjemund,NA,-28.55,16.4333,67.59,78,97,3.96,overcast clouds
49,Severnyy,RU,50.677,36.5532,26.64,93,100,8.95,mist
50,Macia,MZ,-25.0269,33.0989,71.92,87,17,6.38,light rain
51,Bardiyah,LY,31.7561,25.0865,52.54,72,1,16.96,clear sky
52,Arkhara,RU,49.4212,130.0842,-3.08,91,97,5.28,overcast clouds
53,Port Alfred,ZA,-33.5906,26.891,70.23,88,42,23.8,scattered clouds
54,Dakar,SN,14.6937,-17.4441,69.93,94,0,9.22,clear sky
55,Santa Cruz,BO,-17.8,-63.1667,69.26,100,100,10.36,moderate rain
56,Verkhoyansk,RU,67.5447,133.385,-33.2,97,97,0.81,overcast clouds
57,Ibotirama,BR,-12.1853,-43.2206,70.48,97,100,2.93,overcast clouds
58,Yellowknife,CA,62.456,-114.3525,-16.58,86,0,9.22,clear sky
59,Putina,PE,-15.4667,-69.4333,46.98,75,100,4.76,overcast clouds
60,Kisangani,CD,0.5167,25.2,68.05,85,95,0.65,overcast clouds
61,Berlevag,NO,70.8578,29.0864,24.33,83,57,26.19,broken clouds
62,Albany,US,42.6001,-73.9662,10.35,76,5,4.52,clear sky
63,Bethel,US,41.3712,-73.414,19.56,68,10,6.67,clear sky
64,Aksarka,RU,66.5606,67.7975,-21.91,100,73,3.6,broken clouds
65,Chardara,KZ,41.2547,67.9692,44.37,88,100,23.11,moderate rain
66,Sosnogorsk,RU,63.6023,53.8817,1.67,95,59,6.33,broken clouds
67,Tecoanapa,MX,16.5167,-98.75,76.53,71,0,3.74,clear sky
68,Victoria,HK,22.2855,114.1577,65.97,76,99,4.0,overcast clouds
69,Umm Lajj,SA,25.0213,37.2685,61.45,58,0,11.07,clear sky
70,Almaznyy,RU,48.0448,40.045,23.14,92,100,7.34,light snow
71,Guerrero Negro,MX,27.9769,-114.0611,60.62,57,0,12.33,clear sky
72,Cape Town,ZA,-33.9258,18.4232,70.12,82,0,4.61,clear sky
73,Mar Del Plata,AR,-38.0023,-57.5575,61.88,76,100,1.99,overcast clouds
74,Barrow,US,71.2906,-156.7887,-29.4,100,50,8.32,scattered clouds
75,Samarai,PG,-10.6167,150.6667,84.79,72,100,10.83,overcast clouds
76,Freeport,US,40.6576,-73.5832,22.01,64,0,1.99,clear sky
